,gene_name
1084,Ugdh
1085,Nsun7
1086,Tec
1087,Uchl1
1088,Tmem165
1089,Ugt2b34
1090,Fam69a
1091,Sult1d1
1092,Glmn
1093,Brdt
1094,Sparcl1
1095,Klhl8
1096,Plac8
1097,Bmp3
1098,Crybb1
1099,Srrd
1100,Asphd2
1101,Crybb3
1102,Tesc
1103,Rfc5
1104,Dck
1105,Cxcl15
1106,Mthfd2l
1107,2010109A12Rik
1108,Snrnp35
1109,Rhof
1110,Tmem116
1111,Gpn3
1112,Cit
1113,Chek2
1114,Pla2g1b
1115,St7
1116,Ftsj2
1117,Oasl2
1118,Radil
1119,Fscn1
1120,Ung
1121,Sdsl
1122,Rita1
1123,Rasal1
1124,Dtx1
1125,Ankrd61
1126,Rph3a
1127,Ccz1
1128,Zkscan14
1129,Slc46a3
1130,C8b
1131,Tex26
1132,Tfpi2
1133,Tspan12
1134,Limk1
1135,Ezh2
1136,Aass
1137,Pcolce
1138,Ppp1r35
1139,Mcm7
1140,Tpk1
1141,Dync1i1
1142,Pon3
1143,Calu
1144,Ccdc136
1145,Abcg2
1146,Tra2a
1147,Dfna5
1148,4921507P07Rik
1149,Svopl
1150,Epha1
1151,Casp2
1152,Gstk1
1153,Ccdc184
1154,Mad2l1
1155,Prdm5
1156,Pradc1
1157,1700003E16Rik
1158,Ino80b
1159,Gp9
1160,Gm20696
1161,Ruvbl1
1162,Abtb1
1163,Klf15
1164,Slc41a3
1165,Bhlhe40
1166,Usp18
1167,Gdf3
1168,Lag3
1169,Clec12b
1170,Clec1b
1171,Rad52
1172,Wnt5b
1173,Magohb
1174,Bcl2l14
1175,Dera
1176,Ldhb
1177,Rad18
1178,Cmas
1179,Creld1
1180,Caprin2
1181,Efcab12
1182,Pianp
1183,Tnfrsf1a
1184,Cd9
1185,Rad51ap1
1186,Zik1
1187,Pop4
1188,Zfp939
1189,Zfp583
1190,Zdhhc13
1191,Zfp108
1192,C230052I12Rik
1193,Hddc3
1194,Mesp2
1195,Mesp1
1196,Pex11a
1197,Nr2f2
1198,Lrrc28
1199,Ctsc
1200,Lrfn1
1201,Mfge8
1202,Ccdc90b
1203,Eed
1204,Fah
1205,4632434I11Rik
1206,Cyp2r1
1207,Mylpf
1208,Kif22
1209,Plekhb1
1210,Gdpd3
1211,Ccdc101
1212,Nupr1
1213,Lipt2
1214,Pold3
1215,Pgm2l1
1216,Syt3
1217,Dgat2
1218,Il4ra
1219,Kdm8
1220,Zkscan2
1221,Micalcl
1222,Pak1
1223,Lyve1
1224,Pycard
1225,Prss8
1226,Kat8
1227,Sergef
1228,Fgfr2
1229,Chp2
1230,Plk1
1231,Cdr2
1232,Vwa3a
1233,Crym
1234,Anks4b
1235,Zp2
1236,Lyrm1
1237,Lhpp
1238,Trim21
1239,Rrm1
1240,Pgap2
1241,Mki67
1242,Swap70
1243,Wee1
1244,Akip1
1245,Usp11
1246,Oraov1
1247,Smarca1
1248,Rbmx2
1249,Prickle3
1250,Plp2
1251,Praf2
1252,Otud5
1253,Ftsj1
1254,Stard8
1255,Magee2
1256,Itm2a
1257,Xkrx
1258,Cenpi
1259,Serpina7
1260,Lrch2
1261,Cdkl5
1262,Dmrtc1a
1263,Cdx4
1264,Tsx
1265,Gabre
1266,Nsdhl
1267,Zfp185
1268,Xlr4c
1269,Haus7
1270,Pir
1271,Piga
1272,Asb11
1273,Asb9
1274,Renbp
1275,L1cam
1276,Psmd10
1277,Gas6
1278,Rasa3
1279,Angpt2
1280,Nek3
1281,Eif4ebp1
1282,Rab20
1283,Dlc1
1284,Eri1
1285,Dusp4
1286,Smim19
1287,Plat
1288,Gins4
1289,4930555F03Rik
1290,Star
1291,Pdgfrl
1292,Sap30
1293,Hpgd
1294,Casp3
1295,Cenpu
1296,Pdlim3
1297,Lrp2bp
1298,Tlr3
1299,Mfap3l
1300,Sall1
1301,Gins3
1302,Gpt2
1303,Gab1
1304,Zfp821
1305,St3gal2
1306,Cenpn
1307,Mt3
1308,Cx3cl1
1309,Tmem38a
1310,Usb1
1311,B3gnt3
1312,Gins2
1313,Necab2
1314,Cdh13
1315,Bcmo1
1316,1700030J22Rik
1317,Ntpcr
1318,Pbx4
1319,Lpar2
1320,Car7
1321,Psmb10
1322,Dus2
1323,Maml2
1324,Ankrd49
1325,Panx1
1326,Tmem170
1327,Ctrb1
1328,Dbndd1
1329,Arv1
1330,Jam3
1331,St14
1332,Dcun1d5
1333,Oaf
1334,4931429I11Rik
1335,Kcnj5
1336,Kirrel3
1337,St3gal4
1338,Rpusd4
1339,Alg9
1340,Ddx25
1341,Nlrx1
1342,Fez1
1343,Hinfp
1344,Pde4a
1345,Tmed1
1346,Kank2
1347,Ccnb2
1348,Myo1e
1349,Fam81a
1350,Kif23
1351,Sh3bgrl2
1352,Fam46a
1353,Neil1
1354,Mpi
1355,Nrg4
1356,Stoml1
1357,Mb21d1
1358,Fam83b
1359,Ctsh
1360,Plod2
1361,Plscr4
1362,Snapc5
1363,Zwilch
1364,Smad3
1365,Ube2cbp
1366,Rwdd2a
1367,Zfp949
1368,Crtap
1369,Cmtm7
1370,Zcwpw2
1371,Clstn2
1372,Rbp2
1373,Nme6
1374,Kif9
1375,Nradd
1376,Csrnp1
1377,Acpp
1378,Mapkapk3
1379,Traip
1380,Amigo3
1381,Uba7
1382,Slc25a20
1383,Amt
1384,Klhdc8b
1385,Gpr19
1386,Oas3
1387,Cd59a
1388,Lmo2
1389,Trib3
1390,Folr2
1391,Snx33
1392,Gab3
1393,Slc8b1
1394,Ilvbl
1395,Troap
1396,Fanca
1397,Igdcc4
1398,Prr5l
1399,Zswim6
1400,Rnft2
1401,Rspo4
1402,Ugt8a
1403,Ccdc85a
1404,Atg12
1405,Rbm11
1406,Ap4b1
1407,Cdo1
1408,C330027C09Rik
1409,Calhm2
1410,Pygb
1411,Card10
1412,Eefsec
1413,Ttf2
1414,Trim45
1415,Kctd17
1416,Dpyd
1417,Fbxl8
1418,Gstt2
1419,Rtp4
1420,Prrg3
1421,Palmd
1422,Frrs1
1423,Antxr1
1424,Adamts15
1425,Angptl1
1426,Dph5
1427,Fa2h
1428,Reep4
1429,Lgi3
1430,Rfwd3
1431,Zfp7
1432,Smyd5
1433,Akr1c14
1434,Vav3
1435,Spr
1436,Mnd1
1437,Recql4
1438,Asb13
1439,Ephx4
1440,Alg3
1441,Engase
1442,Gucy1a3
1443,Vhl
1444,Aspm
1445,Rfc3
1446,Zfp944
1447,Tesk2
1448,Fancd2
1449,Ccdc17
1450,Zfp551
1451,Ano7
1452,Tpst1
1453,Tspan8
1454,Emid1
1455,Zbed5
1456,Hsdl1
1457,Rhov
1458,Zdhhc14
1459,Dnajc17
1460,Sdr42e1
1461,Kif4
1462,Trim59
1463,Plcg2
1464,Smc4
1465,Ramp1
1466,Cpne2
1467,Wdr5b
1468,Spata6
1469,Neurl1b
1470,Trmt5
1471,Cyb561a3
1472,Dhrs11
1473,Gulo
1474,Ifit1
1475,Dynlrb2
1476,Rasd2
1477,Edil3
1478,Mad2l1bp
1479,Hsd17b13
1480,Fbxo16
1481,Zfp418
1482,8430429K09Rik
1483,Slc41a2
1484,Pik3ip1
1485,Setmar
1486,Tiparp
1487,Dbn1
1488,Sema3f
1489,Prr7
1490,Nostrin
1491,Tle6
1492,Dusp5
1493,BC030867
1494,Nrip3
1495,Lrr1
1496,Ncaph
1497,Dhcr24
1498,Rtkn
1499,Arl4d
1500,Tmem106a
1501,Dapk3
1502,Parm1
1503,Otoa
1504,Dpp4
1505,Ncapd3
1506,Nek11
1507,Zc4h2
1508,Oma1
1509,Fam167a
1510,Neil2
1511,Chrnb4
1512,Xrra1
1513,Pdk3
1514,Fam175a
1515,Trim13
1516,Hpse
1517,Tpbg
1518,Nat14
1519,Nup37
1520,Pdzrn3
1521,Parpbp
1522,1810055G02Rik
1523,Shq1
1524,Tmem98
1525,Fignl1
1526,Mbd3
1527,Plk5
1528,Cox18
1529,Fbxl21
1530,Gc
1531,Igfbpl1
1532,Mpv17l2
1533,Aldh1b1
1534,Iqcg
1535,1600002K03Rik
1536,Muc20
1537,Aamdc
1538,Tnfsf9
1539,Kcnc2
1540,Melk
1541,Isg15
1542,Caps2
1543,Alg8
1544,Bbs10
1545,Cep19
1546,Tk2
1547,Pim3
1548,Ddx11
1549,Alg12
1550,Krt222
1551,Misp
1552,Syt1
1553,3110052M02Rik
1554,Pawr
1555,AI182371
1556,Rnase1
1557,Bbs9
1558,Acss3
1559,Tdp2
1560,Tmem59l
1561,Gm7008
1562,Nme5
1563,Slc2a6
1564,Hyal3
1565,Myrf
1566,Prr5
1567,Lmo1
1568,Rpp25l
1569,Znrd1as
1570,Ska1
1571,3632451O06Rik
1572,Macrod1
1573,Slc18a1
1574,Ubac1
1575,P2ry12
1576,Rmdn2
1577,C530008M17Rik
1578,P2ry14
1579,Gadd45a
1580,9530077C05Rik
1581,Siah2
1582,Wtip
1583,Rnf39
1584,Tmem255a
1585,Rnf113a1
1586,Ndrg4
1587,Fgf1
1588,Ccdc113
1589,Tssc1
1590,Mag
1591,Nudt1
1592,Cenpt
1593,Aaas
1594,Zscan12
1595,Kcnk9
1596,Kif15
1597,Anln
1598,Klhl13
1599,Fam135b
1600,Slc6a20a
1601,Amdhd2
1602,Mcoln3
1603,Syde2
1604,Dna2
1605,Acaa2
1606,Prodh2
1607,Kirrel2
1608,Spt1
1609,4921524J17Rik
1610,Kdm1a
1611,Tmem71
1612,Cnpy4
1613,Tfb1m
1614,Nxt1
1615,Wdr62
1616,Zfp146
1617,Zcwpw1
1618,4930529M08Rik
1619,Mycn
1620,Pacrg
1621,Atg101
1622,Thap1
1623,Pldi
1624,Ovol2
1625,Man1c1
1626,Tacc3
1627,Jade3
1628,Map4k1
1629,Paqr7
1630,Nudt22
1631,Letm2
1632,Pafah2
1633,Spon2
1634,Tbc1d2b
1635,Vnn1
1636,Arid5a
1637,Fbxo27
1638,Klf10
1639,4930427A07Rik
1640,Dtl
1641,Bcdin3d
1642,Dlgap5
1643,Plekhg2
1644,Vash2
1645,Wdhd1
1646,Kcnh3
1647,BC022687
1648,Cldn11
1649,Cdkn3
1650,Zbtb42
1651,H2-DMa
1652,Gpr160
1653,Cdkn1c
1654,Esyt3
1655,Ckap2
1656,Actrt3
1657,Actr5
1658,Fbxw17
1659,Tgm2
1660,Tspan14
1661,Nmrk1
1662,Egr2
1663,Scarb1
1664,Chchd5
1665,Inpp4b
